149.4667,-37.075,New South Wales,Bega Valley,South East Corner,null
153.0,-27.5,Queensland,St Lucia,South Eastern Queensland,null
145.6,-16.8,Queensland,Mareeba,Wet Tropics,Northeast Shelf Province
145.3,-37.9,Victoria,Knox - North-East,South Eastern Highlands,Bass Strait Shelf Province
152.0833,-23.5,Queensland,null,null,Northeast Shelf Province
123.5833,-28.2,Western Australia,Laverton,Great Victoria Desert,null
149.1,-35.2667,Australian Capital Territory,Acton,South Eastern Highlands,Southeast Shelf Transition
123.6,-28.2,Western Australia,Laverton,Great Victoria Desert,null
145.8,-17.1,Queensland,Cairns - Pt B,Wet Tropics,null
151.21,-33.865,New South Wales,Sydney - Inner,Sydney Basin,null
146.2,-41.75,Tasmania,Meander Valley,Tasmanian Northern Slopes,null
145.8,-16.9,Queensland,null,null,Northeast Shelf Province
145.7667,-16.9167,Queensland,Cairns  - City,Wet Tropics,Northeast Shelf Province
151.2,-33.9,New South Wales,Sydney - South,Sydney Basin,null
151.2167,-33.8833,New South Wales,Sydney - East,Sydney Basin,null
145.45,-14.6833,Queensland,Cook,null,Northeast Shelf Transition
145.8833,-32.85,New South Wales,Cobar,Cobar Peneplain,null
145.0,-37.8,Victoria,Yarra - North,Victorian Volcanic Plain,null
145.2,-37.8,Victoria,Manningham - West,South East Coastal Plain,null
145.7,-37.8,Victoria,Yarra Ranges - Central,South Eastern Highlands,null
159.0833,-31.55,New South Wales,Lord Howe Island,null,null
144.4167,-5.3333,null,null,null,null
142.3,-34.8,Victoria,Mildura - Pt B,Murray Darling Depression,null
131.3667,-12.8,Northern Territory,South Alligator,Pine Creek,null
122.8333,-28.4666,Western Australia,Laverton,Great Victoria Desert,null
159.0833,-31.5167,New South Wales,Lord Howe Island,null,Lord Howe Province
145.5667,-16.3833,Queensland,Douglas,null,Northeast Shelf Province
153.45,-28.08,Queensland,Burleigh Heads,South Eastern Queensland,Central Eastern Shelf Transition
151.31,-33.7433,New South Wales,Warringah,Sydney Basin,null
151.15,-33.75,New South Wales,Ku-ring-gai,Sydney Basin,null
145.0,-38.35,Victoria,Mornington P'sula - South,South East Coastal Plain,Bass Strait Shelf Province
146.75,-41.0833,Tasmania,West Tamar - Pt A,null,Bass Strait Shelf Province
150.2,-23.6,Queensland,Fitzroy - Pt B,Brigalow Belt South,Northeast Shelf Province
147.1667,-41.45,Tasmania,Launceston - Pt B,Tasmanian Northern Midlands,null
144.6,-37.5,Victoria,Macedon Ranges Bal,Victorian Volcanic Plain,null
151.2667,-27.8833,Queensland,Millmerran,Brigalow Belt South,Central Eastern Province
147.4,-38.2,Victoria,Wellington - Rosedale,South East Coastal Plain,null
151.2667,-33.85,New South Wales,null,Sydney Basin,null
130.8333,-12.45,Northern Territory,The Gardens,Darwin Coastal,Northwest Shelf Transition
146.8167,-19.2667,Queensland,Railway Estate,Brigalow Belt North,Northeast Shelf Province
115.85,-31.95,Western Australia,Perth,Swan Coastal Plain,null
148.25,-20.0167,Queensland,null,Brigalow Belt North,null
152.1833,-4.2,null,null,null,null
144.9,-38.3,Victoria,Mornington P'sula - South,null,Bass Strait Shelf Province
146.8,-19.3,Queensland,Rosslea,Brigalow Belt North,Northeast Shelf Province
115.63,-33.33,Western Australia,Bunbury,Swan Coastal Plain,null
151.3,-27.9,Queensland,Millmerran,Brigalow Belt South,Central Eastern Province
151.95,-23.4333,Queensland,null,null,Northeast Shelf Province
145.9833,-16.6,Queensland,Douglas,null,Northeast Shelf Province
145.45,-14.6667,Queensland,Cook,null,null
